RowId,Location
1,66.35958
2,38.285965
3,29.88811
4,35.75303
5,58.66734
6,39.16091
7,71.50288
8,39.294174
9,36.215984
10,37.24234
11,22.939201
12,37.207855
13,57.38922
14,26.395815
15,78.182915
16,28.88308
17,37.52238
18,26.211966
19,15.96535
20,26.810446
21,50.156403
22,50.05026
23,63.25373
24,74.93799
25,33.058758
26,74.75868
27,48.053696
28,67.57227
29,47.282284
30,84.403366
31,68.624146
32,38.650322
33,28.580181
34,38.289894
35,61.24683
36,38.71286
37,74.8514
38,37.865993
39,35.993176
40,37.886505
41,21.714523
42,39.442448
43,57.666
44,30.000952
45,79.65568
46,28.822878
47,37.878414
48,29.656698
49,14.626144
50,30.857159
51,49.271496
52,58.433453
53,65.03177
54,76.381874
55,34.473328
56,77.28143
57,50.179733
58,71.87368
59,48.99934
60,88.0144
61,67.56242
62,36.92268
63,32.842693
64,38.161247
65,58.95091
66,37.937355
67,71.01725
68,37.07826
69,38.289745
70,38.18005
71,25.738297
72,38.459892
73,58.338875
74,29.43881
75,75.74954
76,28.786417
77,37.94428
78,29.915625
79,19.452862
80,32.007313
81,49.63687
82,54.95539
83,61.565212
84,74.919304
85,37.395008
86,74.55511
87,49.845642
88,70.094444
89,51.014507
90,81.34361
91,67.60261
92,39.483406
93,31.944515
94,40.388412
95,58.84618
96,41.51784
97,72.9954
98,40.60982
99,37.471554
100,40.98611
101,24.055773
102,41.675358
103,56.606285
104,30.560816
105,76.77808
106,30.824379
107,36.53603
108,31.369564
109,16.655766
110,34.832176
111,48.37916
112,52.69813
113,65.39412
114,78.15263
115,33.8662
116,78.60049
117,48.09616
118,71.57769
119,49.04881
120,82.12169
121,68.76632
122,39.005028
123,28.394634
124,38.506874
125,59.8447
126,38.63114
127,73.084045
128,38.97494
129,35.618687
130,38.455437
131,21.694258
132,39.807487
133,58.683136
134,26.69203
135,79.03462
136,29.892956
137,37.032494
138,28.293219
139,14.217727
140,31.991795
141,48.51914
142,53.259777
143,64.23424
144,75.61736
145,33.564934
146,75.76717
147,49.047333
148,69.70496
149,48.98647
150,84.20941
151,69.54138
152,36.895622
153,29.334423
154,36.800186
155,59.444923
156,39.046757
157,74.521675
158,39.34859
159,37.04165
160,39.01546
161,21.69469
162,40.062634
163,55.891922
164,30.718372
165,80.46023
166,31.456163
167,39.18554
168,31.000477
169,13.966907
170,33.543526
171,47.760883
172,51.479626
173,64.81077
174,73.59571
175,33.11628
176,76.05841
177,49.491283
178,72.11053
